Code,Item Code,Drink_Name,Size,Age,Proof,Unit_Price,Case_Price,
9096B,99900909675,WOODFORD RESERVE STRAIGHT WHEAT,750 ML,,90,33.95,203.70,
$ 3092B,99900309275,WOODFORD RESERVE W/GLASS,750 ML,,90,33.95,203.70,
8855B,99900885575,WOODINVILLE PORT FINISHED BOURBON,750 ML,,90,49.95,599.40,
5162B,99900516275,WOODINVILLE STRAIGHT BOURBON,750 ML,,90,39.95,479.40,
5163B,99900516375,WOODINVILLE STRAIGHT RYE WHISKEY,750 ML,,90,41.95,503.40,
8241B,99900824175,WRAY AND NEPHEW WHITE OVERPROOF 126 PRF,750 ML,,126,24.95,299.40,
3653B,99900365375,WRITER'S TEARS COPPER POT IRISH WHISKEY,750 ML,,80,44.95,269.70,
$ 9075B,99900907575,WRITER'S TEARS COPPER POT W/2 GLASSES,750 ML,,80,44.95,269.70,
@ 6582B,99900658275,WYOMING WHISKEY SMALL BATCH BOURBON,750 ML,,88,44.95,269.70,
7664B,99900766475,X-RATED FUSION LIQ:VDK/ORG/MNGO/PSN FRT,750 ML,,34,24.95,149.70,
0613B,99900061375,YAZI GINGER VODKA,750 ML,,70,24.95,299.40,
0613F,99900061305,YAZI GINGER VODKA,50 ML,,70,2.25,135.00,
3189B,99900318975,YELLOW SPOT,750 ML,,92,129.95,779.70,
3901B,99900390175,YELLOW STONE SELECT,750 ML,,93,39.95,239.70,
@ 6424B,99900642475,YEYO ULTRA PREMIUM SILVER TEQUILA,750 ML,,80,44.95,269.70,
0941B,99900094175,YUKON JACK,750 ML,,100,17.95,215.40,
0941D,99900094120,YUKON JACK,200 ML,,100,5.95,285.60,
0941E,99900094137,YUKON JACK,375 ML,,100,9.95,238.80,
0941F,99900094105,YUKON JACK,50 ML,,100,2.00,240.00,
0941H,99900094117,YUKON JACK,1.75 L,,100,31.95,191.70,
@ 9326B,99900932675,YUKON JACK APPLE,750 ML,,100,14.95,179.40,
@ 9325B,99900932575,YUKON JACK FIRE,750 ML,,100,14.95,179.40,
@ 9321B,99900932175,YUKON JACK HONEY,750 ML,,100,14.95,179.40,
9321F,99900932105,YUKON JACK HONEY,50 ML,,100,2.00,240.00,
1129B,99900112975,YUKON JACK PERMA FROST,750 ML,,100,17.95,215.40,
9323B,99900932375,YUKON JACK SNAKEBITE 10-50ML PK,750 ML,,100,10.95,131.40,
8213B,99900821375,ZAYA GRAN RESERVA GUATAMALA RUM,750 ML,,80,29.95,179.70,
